,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,SMQ020,1,Yes,,
2,SMQ020,2,No,,
3,SMQ020,7,Refused,,
4,SMQ020,9,Don'T Know,,
5,SMQ020,.,Missing,,
6,SMD030,7 To 64,Range Of Values,,
7,SMD030,0,Never Smoked Cigarettes Regularly,,
8,SMD030,80,80 Years Or Older,,
9,SMD030,777,Refused,,
10,SMD030,999,Don'T Know,,
11,SMD030,.,Missing,,
12,SMQ040,1,Every Day,,
13,SMQ040,2,Some Days,,
14,SMQ040,3,Not At All,,
15,SMQ040,7,Refused,,
16,SMQ040,9,Don'T Know,,
17,SMQ040,.,Missing,,
18,SMQ050Q,1 To 90,Range Of Values,,
19,SMQ050Q,66666,50 Years Or More,,
20,SMQ050Q,77777,Refused,,
21,SMQ050Q,99999,Don'T Know,,
22,SMQ050Q,.,Missing,,
23,SMQ050U,1,Days,,
24,SMQ050U,2,Weeks,,
25,SMQ050U,3,Months,,
26,SMQ050U,4,Years,,
27,SMQ050U,7,Refused,,
28,SMQ050U,9,Don'T Know,,
29,SMQ050U,.,Missing,,
30,SMD055,14 To 79,Range Of Values,,
31,SMD055,80,80 Years Or Older,,
32,SMD055,777,Refused,,
33,SMD055,999,Don'T Know,,
34,SMD055,.,Missing,,
35,SMD057,2 To 90,Range Of Values,,
36,SMD057,1,1 Cigarette Or Less,,
37,SMD057,95,95 Cigarettes Or More,,
38,SMD057,777,Refused,,
39,SMD057,999,Don'T Know,,
40,SMD057,.,Missing,,
41,SMQ078,1,Within 5 Minutes,,
42,SMQ078,2,From 6 To 30 Minutes,,
43,SMQ078,3,From More Than 30 Minutes To One Hour,,
44,SMQ078,4,From More Than 1 Hour To 2 Hours,,
45,SMQ078,5,From More Than 2 Hours To 3 Hours,,
46,SMQ078,6,From More Than 3 Hours To 4 Hours,,
47,SMQ078,7,More Than 4 Hours,,
48,SMQ078,77,Refused,,
49,SMQ078,99,Don'T Know,,
50,SMQ078,.,Missing,,
51,SMD641,0 To 30,Range Of Values,,
52,SMD641,77,Refused,,
53,SMD641,99,Don'T Know,,
54,SMD641,.,Missing,,
55,SMD650,2 To 90,Range Of Values,,
56,SMD650,1,1 Cigarette Or Less,,
57,SMD650,95,95 Cigarettes Or More,,
58,SMD650,777,Refused,,
59,SMD650,999,Don'T Know,,
60,SMD650,.,Missing,,
61,SMD093,1,Yes,,
62,SMD093,2,No,,
63,SMD093,3,No Usual Brand,,
64,SMD093,4,Rolls Own,,
65,SMD093,7,Refused,,
66,SMD093,9,Don'T Know,,
67,SMD093,.,Missing,,
68,SMDUPCA,Cig 12-Digit Universal Product Code-Upc,Value Was Recorded,,
69,SMDUPCA,,Missing,,
70,SMDUPCA,* No Match *,No Match,,
71,SMD100BR,Cigarette Brand/Sub-Brand,Value Was Recorded,,
72,SMD100BR,,Missing,,
73,SMD100FL,0,Non-Filter,,
74,SMD100FL,1,Filter,,
75,SMD100FL,.,Missing,,
76,SMD100MN,0,Non-Menthol,,
77,SMD100MN,1,Menthol,,
78,SMD100MN,.,Missing,,
79,SMD100LN,1,Regular (68-72 Mm),,
80,SMD100LN,2,King (79-88 Mm),,
81,SMD100LN,3,Long (94-101 Mm),,
82,SMD100LN,4,Ultra Long (110-121 Mm),,
83,SMD100LN,.,Missing,,
84,SMD100TR,2 To 24,Range Of Values,,
85,SMD100TR,.,Missing,,
86,SMD100NI,0.1 To 2,Range Of Values,,
87,SMD100NI,.,Missing,,
88,SMD100CO,3 To 19,Range Of Values,,
89,SMD100CO,.,Missing,,
90,SMQ621,1,"I Have Never Smoked, Not Even A Puff",,
91,SMQ621,2,1 Or More Puffs But Never A Whole Cigarette,,
92,SMQ621,3,1 Cigarette,,
93,SMQ621,4,2 To 5 Cigarettes,,
94,SMQ621,5,6 To 15 Cigarettes,,
95,SMQ621,6,16 To 25 Cigarettes,,
96,SMQ621,7,26 To 99 Cigarettes,,
97,SMQ621,8,100 Or More Cigarettes,,
98,SMQ621,77,Refused,,
99,SMQ621,99,Don'T Know,,
100,SMQ621,.,Missing,,
101,SMD630,7 To 17,Range Of Values,,
102,SMD630,6,6 Years Or Less,,
103,SMD630,77,Refused,,
104,SMD630,99,Don'T Know,,
105,SMD630,.,Missing,,
106,SMQ661,1,Marlboro,,
107,SMQ661,2,Camel,,
108,SMQ661,3,Newport,,
109,SMQ661,8,Other Brand,,
110,SMQ661,9,No Usual Brand,,
111,SMQ661,10,Hand-Rolled Cigarettes,,
112,SMQ661,77,Refused,,
113,SMQ661,99,Don'T Know,,
114,SMQ661,.,Missing,,
115,SMQ665A,1,Marlboro Red,,
116,SMQ665A,2,Marlboro Red 83S,,
117,SMQ665A,3,Marlboro Gold,,
118,SMQ665A,4,Marlboro Gold Menthol,,
119,SMQ665A,5,Marlboro Silver,,
120,SMQ665A,6,Marlboro Black,,
121,SMQ665A,7,Marlboro Menthol,,
122,SMQ665A,8,Other Marlboro,,
123,SMQ665A,77,Refused,,
124,SMQ665A,99,Don'T Know,,
125,SMQ665A,.,Missing,,
126,SMQ665B,1,Camel,,
127,SMQ665B,2,Camel Blue,,
128,SMQ665B,3,Camel Crush,,
129,SMQ665B,4,Camel Crush Bold,,
130,SMQ665B,5,Camel Menthol,,
131,SMQ665B,6,Camel Menthol Silver,,
132,SMQ665B,7,Other Camel,,
133,SMQ665B,77,Refused,,
134,SMQ665B,99,Don'T Know,,
135,SMQ665B,.,Missing,,
136,SMQ665C,1,Newport,,
137,SMQ665C,2,Newport Menthol Gold,,
138,SMQ665C,3,Other Newport,,
139,SMQ665C,77,Refused,,
140,SMQ665C,99,Don'T Know,,
141,SMQ665C,.,Missing,,
142,SMQ665D,1,Basic,,
143,SMQ665D,2,Doral Red 100S,,
144,SMQ665D,3,Doral Menthol Gold Box 100S,,
145,SMQ665D,4,Gpc,,
146,SMQ665D,5,Gpc Menthol,,
147,SMQ665D,6,Kool Blue Menthol 100S,,
148,SMQ665D,7,Kool True Menthol,,
149,SMQ665D,8,Virginia Slims,,
150,SMQ665D,9,Other Brand,,
151,SMQ665D,77,Refused,,
152,SMQ665D,99,Don'T Know,,
153,SMQ665D,.,Missing,,
154,SMQ670,1,Yes,,
155,SMQ670,2,No,,
156,SMQ670,7,Refused,,
157,SMQ670,9,Don'T Know,,
158,SMQ670,.,Missing,,
159,SMQ848,1 To 20,Range Of Values,,
160,SMQ848,777,Refused,,
161,SMQ848,999,Don'T Know,,
162,SMQ848,.,Missing,,
163,SMQ852Q,0 To 356,Range Of Values,,
164,SMQ852Q,7777,Refused,,
165,SMQ852Q,9999,Don'T Know,,
166,SMQ852Q,.,Missing,,
167,SMQ852U,1,Days,,
168,SMQ852U,2,Weeks,,
169,SMQ852U,3,Months,,
170,SMQ852U,7,Refused,,
171,SMQ852U,9,Don'T Know,,
172,SMQ852U,.,Missing,,
173,SMAQUEX2,1,Home Interview (18+ Yrs),,
174,SMAQUEX2,2,Acasi (12 - 17 Yrs),,
175,SMAQUEX2,.,Missing,,
