,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,BPQ020,1,Yes,,
2,BPQ020,2,No,,
3,BPQ020,7,Refused,,
4,BPQ020,9,Don'T Know,,
5,BPQ020,.,Missing,,
6,BPQ030,1,Yes,,
7,BPQ030,2,No,,
8,BPQ030,7,Refused,,
9,BPQ030,9,Don'T Know,,
10,BPQ030,.,Missing,,
11,BPD035,7 To 79,Range Of Values,,
12,BPD035,80,80 Years Or Older,,
13,BPD035,777,Refused,,
14,BPD035,999,Don'T Know,,
15,BPD035,.,Missing,,
16,BPQ040A,1,Yes,,
17,BPQ040A,2,No,,
18,BPQ040A,7,Refused,,
19,BPQ040A,9,Don'T Know,,
20,BPQ040A,.,Missing,,
21,BPQ050A,1,Yes,,
22,BPQ050A,2,No,,
23,BPQ050A,7,Refused,,
24,BPQ050A,9,Don'T Know,,
25,BPQ050A,.,Missing,,
26,BPQ080,1,Yes,,
27,BPQ080,2,No,,
28,BPQ080,7,Refused,,
29,BPQ080,9,Don'T Know,,
30,BPQ080,.,Missing,,
31,BPQ060,1,Yes,,
32,BPQ060,2,No,,
33,BPQ060,7,Refused,,
34,BPQ060,9,Don'T Know,,
35,BPQ060,.,Missing,,
36,BPQ070,1,"Less Than 1 Year Ago,",,
37,BPQ070,2,"1 Year But Less Than 2 Years Ago,",,
38,BPQ070,3,"2 Years But Less Than 5 Years Ago, Or",,
39,BPQ070,4,5 Years Or More?,,
40,BPQ070,7,Refused,,
41,BPQ070,9,Don'T Know,,
42,BPQ070,.,Missing,,
43,BPQ090D,1,Yes,,
44,BPQ090D,2,No,,
45,BPQ090D,7,Refused,,
46,BPQ090D,9,Don'T Know,,
47,BPQ090D,.,Missing,,
48,BPQ100D,1,Yes,,
49,BPQ100D,2,No,,
50,BPQ100D,7,Refused,,
51,BPQ100D,9,Don'T Know,,
52,BPQ100D,.,Missing,,
