,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,DLQ010,1,Yes,,
2,DLQ010,2,No,,
3,DLQ010,7,Refused,,
4,DLQ010,9,Don'T Know,,
5,DLQ010,.,Missing,,
6,DLQ020,1,Yes,,
7,DLQ020,2,No,,
8,DLQ020,7,Refused,,
9,DLQ020,9,Don'T Know,,
10,DLQ020,.,Missing,,
11,DLQ040,1,Yes,,
12,DLQ040,2,No,,
13,DLQ040,7,Refused,,
14,DLQ040,9,Don'T Know,,
15,DLQ040,.,Missing,,
16,DLQ050,1,Yes,,
17,DLQ050,2,No,,
18,DLQ050,7,Refused,,
19,DLQ050,9,Don'T Know,,
20,DLQ050,.,Missing,,
21,DLQ060,1,Yes,,
22,DLQ060,2,No,,
23,DLQ060,7,Refused,,
24,DLQ060,9,Don'T Know,,
25,DLQ060,.,Missing,,
26,DLQ080,1,Yes,,
27,DLQ080,2,No,,
28,DLQ080,7,Refused,,
29,DLQ080,9,Don'T Know,,
30,DLQ080,.,Missing,,
31,DLQ090,,,,
32,DLQ100,1,Daily,,
33,DLQ100,2,Weekly,,
34,DLQ100,3,Monthly,,
35,DLQ100,4,A Few Times A Year,,
36,DLQ100,5,Never,,
37,DLQ100,7,Refused,,
38,DLQ100,9,Don'T Know,,
39,DLQ100,.,Missing,,
40,DLQ110,1,Yes,,
41,DLQ110,2,No,,
42,DLQ110,7,Refused,,
43,DLQ110,9,Don'T Know,,
44,DLQ110,.,Missing,,
45,DLQ120,,,,
46,DLQ130,1,A Little,,
47,DLQ130,2,A Lot,,
48,DLQ130,3,Somewhere In Between A Little And A Lot,,
49,DLQ130,7,Refused,,
50,DLQ130,9,Don'T Know,,
51,DLQ130,.,Missing,,
52,DLQ140,1,Daily,,
53,DLQ140,2,Weekly,,
54,DLQ140,3,Monthly,,
55,DLQ140,4,A Few Times A Year,,
56,DLQ140,5,Never,,
57,DLQ140,7,Refused,,
58,DLQ140,9,Don'T Know,,
59,DLQ140,.,Missing,,
60,DLQ150,1,Yes,,
61,DLQ150,2,No,,
62,DLQ150,7,Refused,,
63,DLQ150,9,Don'T Know,,
64,DLQ150,.,Missing,,
65,DLQ160,,,,
66,DLQ170,1,A Little,,
67,DLQ170,2,A Lot,,
68,DLQ170,3,Somewhere In Between A Little And A Lot,,
69,DLQ170,7,Refused,,
70,DLQ170,9,Don'T Know,,
71,DLQ170,.,Missing,,
