,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,HUQ010,1,"Excellent,",,
2,HUQ010,2,"Very Good,",,
3,HUQ010,3,"Good,",,
4,HUQ010,4,"Fair, Or",,
5,HUQ010,5,Poor?,,
6,HUQ010,7,Refused,,
7,HUQ010,9,Don'T Know,,
8,HUQ010,.,Missing,,
9,HUQ015,,,,
10,HUQ020,1,"Better,",,
11,HUQ020,2,"Worse, Or",,
12,HUQ020,3,About The Same?,,
13,HUQ020,7,Refused,,
14,HUQ020,9,Don'T Know,,
15,HUQ020,.,Missing,,
16,HUQ030,1,Yes,,
17,HUQ030,2,There Is No Place,,
18,HUQ030,3,There Is More Than One Place,,
19,HUQ030,7,Refused,,
20,HUQ030,9,Don'T Know,,
21,HUQ030,.,Missing,,
22,HUQ041,1,Clinic Or Health Center,,
23,HUQ041,2,Doctor'S Office Or Hmo,,
24,HUQ041,3,Hospital Emergency Room,,
25,HUQ041,4,Hospital Outpatient Department,,
26,HUQ041,5,Some Other Place,,
27,HUQ041,6,Doesn'T Go To One Place Most Often,,
28,HUQ041,77,Refused,,
29,HUQ041,99,Don'T Know,,
30,HUQ041,.,Missing,,
31,HUQ051,0,None,,
32,HUQ051,1,1,,
33,HUQ051,2,2 To 3,,
34,HUQ051,3,4 To 5,,
35,HUQ051,4,6 To 7,,
36,HUQ051,5,8 To 9,,
37,HUQ051,6,10 To 12,,
38,HUQ051,7,13 To 15,,
39,HUQ051,8,16 Or More,,
40,HUQ051,77,Refused,,
41,HUQ051,99,Don'T Know,,
42,HUQ051,.,Missing,,
43,HUQ061,1,"6 Months Or Less,",,
44,HUQ061,2,"More Than 6 Months, But Not More Than 1 Year Ago,",,
45,HUQ061,3,"More Than 1 Year, But Not More Than 2 Years Ago,",,
46,HUQ061,4,"More Than 2 Years, But Not More Than 5 Years Ago,",,
47,HUQ061,5,"More Than 5 Years Ago, Or",,
48,HUQ061,6,Never?,,
49,HUQ061,77,Refused,,
50,HUQ061,99,Don'T Know,,
51,HUQ061,.,Missing,,
52,HUQ071,1,Yes,,
53,HUQ071,2,No,,
54,HUQ071,7,Refused,,
55,HUQ071,9,Don'T Know,,
56,HUQ071,.,Missing,,
57,HUD080,1,1,,
58,HUD080,2,2,,
59,HUD080,3,3,,
60,HUD080,4,4,,
61,HUD080,5,5,,
62,HUD080,6,6 Times Or More,,
63,HUD080,77777,Refused,,
64,HUD080,99999,Don'T Know,,
65,HUD080,.,Missing,,
66,HUQ085,,,,
67,HUQ090,1,Yes,,
68,HUQ090,2,No,,
69,HUQ090,7,Refused,,
70,HUQ090,9,Don'T Know,,
71,HUQ090,.,Missing,,
