,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,IMQ011,1,"Yes, At Least 2 Doses",,
2,IMQ011,2,Less Than 2 Doses,,
3,IMQ011,3,No Doses,,
4,IMQ011,7,Refused,,
5,IMQ011,9,Don'T Know,,
6,IMQ011,.,Missing,,
7,IMQ020,1,Yes At Least 3 Doses,,
8,IMQ020,2,Less Than 3 Doses,,
9,IMQ020,3,No Doses,,
10,IMQ020,7,Refused,,
11,IMQ020,9,Don'T Know,,
12,IMQ020,.,Missing,,
13,IMQ050,,,,
14,IMQ060,1,Yes,,
15,IMQ060,2,No,,
16,IMQ060,7,Refused,,
17,IMQ060,9,Don'T Know,,
18,IMQ060,.,Missing,,
19,IMQ070,1,Yes,,
20,IMQ070,2,No,,
21,IMQ070,7,Refused,,
22,IMQ070,9,Don'T Know,,
23,IMQ070,.,Missing,,
24,IMD080,1,Cervarix,,
25,IMD080,2,Gardasil,,
26,IMD080,3,Both,,
27,IMD080,7,Refused,,
28,IMD080,9,Don'T Know,,
29,IMD080,.,Missing,,
30,IMQ090,1 To 51,Range Of Values,,
31,IMQ090,777,Refused,,
32,IMQ090,999,Don'T Know,,
33,IMQ090,.,Missing,,
34,IMQ100,1,1 Dose,,
35,IMQ100,2,2 Doses,,
36,IMQ100,3,3 Doses,,
37,IMQ100,7,Refused,,
38,IMQ100,9,Don'T Know,,
39,IMQ100,.,Missing,,
