,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,SMD460,0,No One In Houseold Is A Smoker,,
2,SMD460,1,1 Household Member Is A Smoker,,
3,SMD460,2,2 Household Members Are Smokers,,
4,SMD460,3,3 Or More Household Members Are Smokers,,
5,SMD460,777,Refused,,
6,SMD460,999,Don'T Know,,
7,SMD460,.,Missing,,
8,SMD470,0,No One Smokes Inside The House,,
9,SMD470,1,1 Household Member Smokes Inside The House,,
10,SMD470,2,2 Household Members Smoke Inside The House,,
11,SMD470,3,3 Or More Household Members Smoke Inside The House,,
12,SMD470,777,Refused,,
13,SMD470,999,Don'T Know,,
14,SMD470,.,Missing,,
15,SMD480,0,0,,
16,SMD480,1,1,,
17,SMD480,2,2,,
18,SMD480,3,3,,
19,SMD480,4,4,,
20,SMD480,5,5,,
21,SMD480,6,6,,
22,SMD480,7,7,,
23,SMD480,77,Refused,,
24,SMD480,99,Don'T Know,,
25,SMD480,.,Missing,,
