,Column,Code,Label,Class,Other For
0,CBD925,1,10% Of Calories/Serving Come From Vit D,,
1,CBD925,2,One Serving Has 10% Vit D By Weight,,
2,CBD925,3,One Serving Has 10% Vit D Needed Per Day,,
3,CBD925,7,Refused,,
4,CBD925,9,Don'T Know,,
5,CBD925,.,Missing,,
6,CBQ502,1,Yes,,
7,CBQ502,2,No,,
8,CBQ502,7,Refused,,
9,CBQ502,9,Don'T Know,,
10,CBQ502,.,Missing,,
11,CBQ503,1,Yes,,
12,CBQ503,2,No,,
13,CBQ503,7,Refused,,
14,CBQ503,9,Don'T Know,,
15,CBQ503,.,Missing,,
16,CBQ506,2,No,,
17,CBQ506,7,Refused,,
18,CBQ506,9,Don'T Know,,
19,CBQ506,.,Missing,,
20,CBQ506,1,Yes,,
21,CBQ536,1,Yes,,
22,CBQ536,2,No,,
23,CBQ536,7,Refused,,
24,CBQ536,9,Don'T Know,,
25,CBQ536,.,Missing,,
26,CBQ541,1,Yes,,
27,CBQ541,2,No,,
28,CBQ541,7,Refused,,
29,CBQ541,9,Don'T Know,,
30,CBQ541,.,Missing,,
31,CBQ551,1,Yes,,
32,CBQ551,2,No,,
33,CBQ551,7,Refused,,
34,CBQ551,9,Don'T Know,,
35,CBQ551,.,Missing,,
36,CBQ581,1,Yes,,
37,CBQ581,2,No,,
38,CBQ581,7,Refused,,
39,CBQ581,9,Don'T Know,,
40,CBQ581,.,Missing,,
41,CBQ586,1,Yes,,
42,CBQ586,2,No,,
43,CBQ586,7,Refused,,
44,CBQ586,9,Don'T Know,,
45,CBQ586,.,Missing,,
46,CBQ645,1,Less Than 500 Calories,,
47,CBQ645,2,500-1000 Calories,,
48,CBQ645,3,1001-1500 Calories,,
49,CBQ645,4,1501-2000 Calories,,
50,CBQ645,5,2001-2500 Calories,,
51,CBQ645,6,2501-3000 Calories,,
52,CBQ645,7,More Than 3000 Calories,,
53,CBQ645,77,Refused,,
54,CBQ645,99,Don'T Know,,
55,CBQ645,.,Missing,,
56,CBQ685,1,Always,,
57,CBQ685,2,Most Of The Time,,
58,CBQ685,3,Sometimes,,
59,CBQ685,4,Rarely,,
60,CBQ685,5,Never,,
61,CBQ685,6,Never Seen,,
62,CBQ685,7,Refused,,
63,CBQ685,9,Don'T Know,,
64,CBQ685,.,Missing,,
65,CBQ695a,1,The Amount Of This Food That People Should Eat,,
66,CBQ695a,7,Refused,,
67,CBQ695a,9,Don'T Know,,
68,CBQ695a,.,Missing,,
69,CBQ695b,2,The Amount Of This Food That People Usually Eat,,
70,CBQ695b,.,Missing,,
71,CBQ695c,3,Something That Makes It Easier To Compare Foods,,
72,CBQ695c,.,Missing,,
73,CBQ698a,1,I Don'T Have Time,,
74,CBQ698a,77,Refused,,
75,CBQ698a,99,Don'T Know,,
76,CBQ698a,.,Missing,,
77,CBQ698b,2,The Print Is Too Small For Me To Read,,
78,CBQ698b,.,Missing,,
79,CBQ698c,3,I'M Satisfied With My Health So There Is No Need For Me To Check,,
80,CBQ698c,.,Missing,,
81,CBQ698cd,91,Others,,
82,CBQ698cd,.,Missing,,
83,CBQ698d,4,I Have A Good Diet So There Is No Need To Check Labels,,
84,CBQ698d,.,Missing,,
85,CBQ698e,5,"I Usually Buy Foods That I'M Used To, So I Don'T Feel That I Need To Check Labels",,
86,CBQ698e,.,Missing,,
87,CBQ698f,6,"I Buy What I Or My Family Like, I Don'T Care About The Labels",,
88,CBQ698f,.,Missing,,
89,CBQ698g,7,I Don'T Think The Food Labels Are Important To Me,,
90,CBQ698g,.,Missing,,
91,CBQ698h,8,I Won'T Know What To Look For Even If I Read The Labels,,
92,CBQ698h,.,Missing,,
93,CBQ698i,9,I Can'T Read English That Well,,
94,CBQ698i,.,Missing,,
95,CBQ700,5,Never,,
96,CBQ700,6,Never Seen,,
97,CBQ700,7,Refused,,
