,Column,Code,Label,Class,Other For
0,RHD018,103 To 191,Range Of Values,,
1,RHD018,7777,Refused,,
2,RHD018,9999,Don'T Know,,
3,RHD018,.,Missing,,
4,RHD043,1,Pregnancy,,
5,RHD043,2,Breast Feeding,,
6,RHD043,3,Hysterectomy,,
7,RHD043,7,Menopause/Change Of Life,,
8,RHD043,9,Other,,
9,RHD043,77,Refused,,
10,RHD043,99,Don'T Know,,
11,RHD043,.,Missing,,
12,RHD143,1,Yes,,
13,RHD143,2,No,,
14,RHD143,7,Refused,,
15,RHD143,9,Don'T Know,,
16,RHD143,.,Missing,,
17,RHD167,0 To 4,Range Of Values,,
18,RHD167,5,5 Or More Deliveries,,
19,RHD167,77,Refused,,
20,RHD167,99,Don'T Know,,
21,RHD167,.,Missing,,
22,RHD180,18 To 43,Range Of Values,,
23,RHD180,17,17 Years Or Younger,,
24,RHD180,45,45 Years Or Older,,
25,RHD180,777,Refused,,
26,RHD180,999,Don'T Know,,
27,RHD180,.,Missing,,
28,RHD190,18 To 44,Range Of Values,,
29,RHD190,17,17 Years Or Younger,,
30,RHD190,45,45 Years Or Older,,
31,RHD190,777,Refused,,
32,RHD190,999,Don'T Know,,
33,RHD190,.,Missing,,
34,RHD280,1,Yes,,
35,RHD280,2,No,,
36,RHD280,7,Refused,,
37,RHD280,9,Don'T Know,,
38,RHD280,.,Missing,,
39,RHQ010,6 To 19,Range Of Values,,
40,RHQ010,0,Hasn'T Started Yet,,
41,RHQ010,20,20 Years Or Older,,
42,RHQ010,777,Refused,,
43,RHQ010,999,Don'T Know,,
44,RHQ010,.,Missing,,
45,RHQ020,7,Refused,,
46,RHQ020,9,Don'T Know,,
47,RHQ020,.,Missing,,
48,RHQ020,1,Younger Than 10,,
49,RHQ020,2,10 To 12,,
50,RHQ020,3,13 To 15,,
51,RHQ020,4,16 Or Older,,
52,RHQ031,1,Yes,,
53,RHQ031,2,No,,
54,RHQ031,7,Refused,,
55,RHQ031,9,Don'T Know,,
56,RHQ031,.,Missing,,
57,RHQ060,20 To 59,Range Of Values,,
58,RHQ060,19,19 Years Or Under,,
59,RHQ060,60,60 Years Or Older,,
60,RHQ060,777,Refused,,
61,RHQ060,999,Don'T Know,,
62,RHQ060,.,Missing,,
63,RHQ070,1,Younger Than 30,,
64,RHQ070,2,30 To 34,,
65,RHQ070,3,35 To 39,,
66,RHQ070,4,40 To 44,,
67,RHQ070,5,45 To 49,,
68,RHQ070,6,50 To 54,,
69,RHQ070,7,55 Or Older,,
70,RHQ070,77,Refused,,
71,RHQ070,99,Don'T Know,,
72,RHQ070,.,Missing,,
73,RHQ074,1,Yes,,
74,RHQ074,2,No,,
75,RHQ074,7,Refused,,
76,RHQ074,9,Don'T Know,,
77,RHQ074,.,Missing,,
78,RHQ076,1,Yes,,
79,RHQ076,2,No,,
80,RHQ076,7,Refused,,
81,RHQ076,9,Don'T Know,,
82,RHQ076,.,Missing,,
83,RHQ078,1,Yes,,
84,RHQ078,2,No,,
85,RHQ078,7,Refused,,
86,RHQ078,9,Don'T Know,,
87,RHQ078,.,Missing,,
88,RHQ131,1,Yes,,
89,RHQ131,2,No,,
90,RHQ131,7,Refused,,
91,RHQ131,9,Don'T Know,,
92,RHQ131,.,Missing,,
93,RHQ160,1 To 10,Range Of Values,,
94,RHQ160,11,11 Or More,,
95,RHQ160,77,Refused,,
96,RHQ160,99,Don'T Know,,
97,RHQ160,.,Missing,,
98,RHQ162,1,Yes,,
99,RHQ162,2,No,,
100,RHQ162,3,Borderline,,
101,RHQ162,7,Refused,,
102,RHQ162,9,Don'T Know,,
103,RHQ162,.,Missing,,
104,RHQ171,0 To 4,Range Of Values,,
105,RHQ171,5,5 Or More Live Births,,
106,RHQ171,77,Refused,,
107,RHQ171,99,Don'T Know,,
108,RHQ171,.,Missing,,
109,RHQ172,1,Yes,,
110,RHQ172,2,No,,
111,RHQ172,7,Refused,,
112,RHQ172,9,Don'T Know,,
113,RHQ172,.,Missing,,
114,RHQ197,2 To 24,Range Of Values,,
115,RHQ197,1,1 Month Or Less,,
116,RHQ197,777,Refused,,
117,RHQ197,999,Don'T Know,,
118,RHQ197,.,Missing,,
119,RHQ200,1,Yes,,
120,RHQ200,2,No,,
121,RHQ200,7,Refused,,
122,RHQ200,9,Don'T Know,,
123,RHQ200,.,Missing,,
124,RHQ305,1,Yes,,
125,RHQ305,2,No,,
126,RHQ305,7,Refused,,
127,RHQ305,9,Don'T Know,,
128,RHQ305,.,Missing,,
129,RHQ332,22 To 59,Range Of Values,,
130,RHQ332,19,19 Years Or Under,,
131,RHQ332,60,60 Years Or Older,,
132,RHQ332,777,Refused,,
133,RHQ332,999,Don'T Know,,
134,RHQ332,.,Missing,,
135,RHQ540,7,Refused,,
136,RHQ540,9,Don'T Know,,
137,RHQ540,.,Missing,,
138,RHQ540,1,Yes,,
139,RHQ540,2,No,,
140,RHQ542A,10,Pills,,
141,RHQ542A,77,Refused,,
142,RHQ542A,99,Don'T Know,,
143,RHQ542A,.,Missing,,
144,RHQ542B,11,Patches,,
145,RHQ542B,.,Missing,,
146,RHQ542C,12,Cream/Suppository/Injection,,
147,RHQ542C,.,Missing,,
148,RHQ542D,13,Other,,
149,RHQ542D,.,Missing,,
150,RHQ554,1,Yes,,
