,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,INDFMMPI,0 To 4.94,Range Of Values,,
2,INDFMMPI,5,Value Greater Than Or Equal To 5.00,,
3,INDFMMPI,.,Missing,,
4,INDFMMPC,1,Monthly Poverty Level Index <: 1.30,,
5,INDFMMPC,2,1.30 < Monthly Poverty Level Index <: 1.85,,
6,INDFMMPC,3,Monthly Poverty Level Index >1.85,,
7,INDFMMPC,7,Refused,,
8,INDFMMPC,9,Don'T Know,,
9,INDFMMPC,.,Missing,,
10,INQ300,1,Yes,,
11,INQ300,2,No,,
12,INQ300,7,Refused,,
13,INQ300,9,Don'T Know,,
14,INQ300,.,Missing,,
15,IND310,1,Less Than $3000,,
16,IND310,2,$3001- $5000,,
17,IND310,3,$5001-$10000,,
18,IND310,4,$10001-$15000,,
19,IND310,5,$15001-$20000,,
20,IND310,77,Refused,,
21,IND310,99,Don'T Know,,
22,IND310,.,Missing,,
