,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,DED011,,,,,,,,,,,,
2,DED021,,,,,,,,,,,,
3,DED031,,,,,,,,,,,,
4,DED041,,,,,,,,,,,,
5,DED051,,,,,,,,,,,,
6,DED061,,,,,,,,,,,,
7,DED071,,,,,,,,,,,,
8,DED082A,,,,,,,,,,,,
9,DED082B,,,,,,,,,,,,
10,DED082C,,,,,,,,,,,,
11,DED082D,,,,,,,,,,,,
12,DED082E,,,,,,,,,,,,
13,DED082F,,,,,,,,,,,,
14,DED082G,,,,,,,,,,,,
15,DED082H,,,,,,,,,,,,
16,DED082I,,,,,,,,,,,,
17,DED082J,,,,,,,,,,,,
