,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,SSD011,,,,,,,,,,,,
2,SSD021A,,,,,,,,,,,,
3,SSD021B,,,,,,,,,,,,
4,SSD021C,,,,,,,,,,,,
5,SSD021D,,,,,,,,,,,,
6,SSD021E,,,,,,,,,,,,
7,SSD021F,,,,,,,,,,,,
8,SSD021G,,,,,,,,,,,,
9,SSD021H,,,,,,,,,,,,
10,SSD021I,,,,,,,,,,,,
11,SSD021J,,,,,,,,,,,,
12,SSD021K,,,,,,,,,,,,
13,SSD021L,,,,,,,,,,,,
14,SSD021M,,,,,,,,,,,,
15,SSD021N,,,,,,,,,,,,
16,SSD031,,,,,,,,,,,,
17,SSD041,,,,,,,,,,,,
18,SSD051,,,,,,,,,,,,
19,SSD061,,,,,,,,,,,,
