,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,BAQ010,,,,,,,,,,,,
2,BAQ020A,,,,,,,,,,,,
3,BAQ020B,,,,,,,,,,,,
4,BAQ020C,,,,,,,,,,,,
5,BAQ030A,,,,,,,,,,,,
6,BAQ030B,,,,,,,,,,,,
7,BAQ040,,,,,,,,,,,,
8,BAQ050,,,,,,,,,,,,
9,BAQ060A,,,,,,,,,,,,
10,BAQ060B,,,,,,,,,,,,
11,BAQ060C,,,,,,,,,,,,
12,BAQ060D,,,,,,,,,,,,
13,BAQ060E,,,,,,,,,,,,
14,BAQ060F,,,,,,,,,,,,
15,BAQ060G,,,,,,,,,,,,
16,BAQ060H,,,,,,,,,,,,
17,BAQ070,,,,,,,,,,,,
18,BAQ075,,,,,,,,,,,,
19,BAQ080A,,,,,,,,,,,,
20,BAQ080B,,,,,,,,,,,,
21,BAQ080C,,,,,,,,,,,,
22,BAQ080D,,,,,,,,,,,,
23,BAQ090,,,,,,,,,,,,
24,BAQ100,,,,,,,,,,,,
