,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,DBQ010,,,,,,,,,,,,
2,DBD020,,,,,,,,,,,,
3,DBD030,,,,,,,,,,,,
4,DBD040,,,,,,,,,,,,
5,DBD050,,,,,,,,,,,,
6,DBD060,,,,,,,,,,,,
7,DBD072A,,,,,,,,,,,,
8,DBD072B,,,,,,,,,,,,
9,DBD072C,,,,,,,,,,,,
10,DBD072D,,,,,,,,,,,,
11,DBD072U,,,,,,,,,,,,
12,DBD080,,,,,,,,,,,,
13,DBD085,,,,,,,,,,,,
14,DBQ700,,,,,,,,,,,,
15,DBQ197,,,,,,,,,,,,
16,DBD222A,,,,,,,,,,,,
17,DBD222B,,,,,,,,,,,,
18,DBD222C,,,,,,,,,,,,
19,DBD222D,,,,,,,,,,,,
20,DBD222U,,,,,,,,,,,,
21,DBD225,,,,,,,,,,,,
22,DBQ229,,,,,,,,,,,,
23,DBQ235A,,,,,,,,,,,,
24,DBQ235B,,,,,,,,,,,,
25,DBQ235C,,,,,,,,,,,,
26,DBD265a,,,,,,,,,,,,
27,DBQ301,,,,,,,,,,,,
28,DBQ330,,,,,,,,,,,,
29,DBD355,,,,,,,,,,,,
30,DBQ360,,,,,,,,,,,,
31,DBQ370,,,,,,,,,,,,
32,DBD381,,,,,,,,,,,,
33,DBQ390,,,,,,,,,,,,
34,DBQ400,,,,,,,,,,,,
35,DBD411,,,,,,,,,,,,
36,DBQ421,,,,,,,,,,,,
37,DBQ422,,,,,,,,,,,,
38,DBQ424,,,,,,,,,,,,
39,DBD709,,,,,,,,,,,,
40,DBD091,,,,,,,,,,,,
41,DBQ719,,,,,,,,,,,,
42,DBQ720,,,,,,,,,,,,
43,DBQ730,,,,,,,,,,,,
44,DBQ740,,,,,,,,,,,,
45,DBQ750,,,,,,,,,,,,
46,DBQ760,,,,,,,,,,,,
47,DBQ770,,,,,,,,,,,,
48,DBQ780,,,,,,,,,,,,
49,DBQ789,,,,,,,,,,,,
50,DBQ790,,,,,,,,,,,,
51,DBQ800,,,,,,,,,,,,
52,DBQ810,,,,,,,,,,,,
53,DBQ820,,,,,,,,,,,,
54,DBQ830,,,,,,,,,,,,
55,DBQ840,,,,,,,,,,,,
56,DBQ850,,,,,,,,,,,,
57,DBQ860,,,,,,,,,,,,
58,DBQ870,,,,,,,,,,,,
59,DBQ880,,,,,,,,,,,,
60,DBQ890,,,,,,,,,,,,
