,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,DUAISC,,,,,,,,,,,,
2,DUQ200,,,,,,,,,,,,
3,DUQ210,,,,,,,,,,,,
4,DUQ220Q,,,,,,,,,,,,
5,DUQ220U,,,,,,,,,,,,
6,DUQ230,,,,,,,,,,,,
7,DUQ240,,,,,,,,,,,,
8,DUQ250,,,,,,,,,,,,
9,DUQ260,,,,,,,,,,,,
10,DUQ270Q,,,,,,,,,,,,
11,DUQ270U,,,,,,,,,,,,
12,DUQ272,,,,,,,,,,,,
13,DUQ280,,,,,,,,,,,,
14,DUQ290,,,,,,,,,,,,
15,DUQ300,,,,,,,,,,,,
16,DUQ310Q,,,,,,,,,,,,
17,DUQ310U,,,,,,,,,,,,
18,DUQ320,,,,,,,,,,,,
19,DUQ330,,,,,,,,,,,,
20,DUQ340,,,,,,,,,,,,
21,DUQ350Q,,,,,,,,,,,,
22,DUQ350U,,,,,,,,,,,,
23,DUQ352,,,,,,,,,,,,
24,DUQ360,,,,,,,,,,,,
25,DUQ370,,,,,,,,,,,,
26,DUQ380A,,,,,,,,,,,,
27,DUQ380B,,,,,,,,,,,,
28,DUQ380C,,,,,,,,,,,,
29,DUQ380D,,,,,,,,,,,,
30,DUQ380E,,,,,,,,,,,,
31,DUQ390,,,,,,,,,,,,
32,DUQ400Q,,,,,,,,,,,,
33,DUQ400U,,,,,,,,,,,,
34,DUQ410,,,,,,,,,,,,
35,DUQ420,,,,,,,,,,,,
36,DUQ425,,,,,,,,,,,,
37,DUQ430,,,,,,,,,,,,
