,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,AUQ131,,,,,,,,,,,,
2,AUQ135,,,,,,,,,,,,
3,AUQ249,,,,,,,,,,,,
4,AUQ136,,,,,,,,,,,,
5,AUQ138,,,,,,,,,,,,
6,AUQ141,,,,,,,,,,,,
7,AUQ150,,,,,,,,,,,,
8,AUQ171,,,,,,,,,,,,
9,AUQ185,,,,,,,,,,,,
10,AUQ191,,,,,,,,,,,,
11,AUQ250,,,,,,,,,,,,
12,AUQ260,,,,,,,,,,,,
13,AUQ270,,,,,,,,,,,,
14,AUQ280,,,,,,,,,,,,
15,AUQ211,,,,,,,,,,,,
16,AUQ290,,,,,,,,,,,,
17,AUQ231,,,,,,,,,,,,
18,AUQ241,,,,,,,,,,,,
