,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,SMQ020,,,,,,,,,,,,
2,SMD030,,,,,,,,,,,,
3,SMQ040,,,,,,,,,,,,
4,SMQ050Q,,,,,,,,,,,,
5,SMQ050U,,,,,,,,,,,,
6,SMD055,,,,,,,,,,,,
7,SMD057,,,,,,,,,,,,
8,SMQ077,,,,,,,,,,,,
9,SMD641,,,,,,,,,,,,
10,SMD650,,,,,,,,,,,,
11,SMD093,,,,,,,,,,,,
12,SMDUPCA,,,,,,,,,,,,
13,SMD100BR,,,,,,,,,,,,
14,SMD100FL,,,,,,,,,,,,
15,SMD100MN,,,,,,,,,,,,
16,SMD100LN,,,,,,,,,,,,
17,SMD100TR,,,,,,,,,,,,
18,SMD100NI,,,,,,,,,,,,
19,SMD100CO,,,,,,,,,,,,
20,SMQ620,,,,,,,,,,,,
21,SMD630,,,,,,,,,,,,
22,SMQ660,,,,,,,,,,,,
23,SMQ664M,,,,,,,,,,,,
24,SMQ664C,,,,,,,,,,,,
25,SMQ664W,,,,,,,,,,,,
26,SMQ664B,,,,,,,,,,,,
27,SMQ664O,,,,,,,,,,,,
28,SMQ666M,,,,,,,,,,,,
29,SMQ666C,,,,,,,,,,,,
30,SMQ666K,,,,,,,,,,,,
31,SMQ666W,,,,,,,,,,,,
32,SMQ666B,,,,,,,,,,,,
33,SMQ666S,,,,,,,,,,,,
34,SMQ666O,,,,,,,,,,,,
35,SMQ670,,,,,,,,,,,,
36,SMAQUEX2,,,,,,,,,,,,
