,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
1,CDQ001,{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
2,CDQ002,{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
3,CDQ003,{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
4,CDQ003A,,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
5,CDQ004,What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking? {Do you/Does she/Does he} stop or slow down or continue at the same pace?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
6,CDQ005,If {you/she/he} stand still what happens to it? Is the pain or discomfort relieved or not relieved?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
7,CDQ006,How soon is the pain relieved? Would you say...,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
8,CDQ009A,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
9,CDQ009B,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
10,CDQ009C,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
11,CDQ009D,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
12,CDQ009E,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
13,CDQ009F,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
14,CDQ009G,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
15,CDQ009H,Please look at this card and show me where the pain or discomfort is located.,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
16,CDQ008,Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
17,CDQ010,{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?,Both males and females 40 YEARS - 150 YEARS,,,,,,,,,,,,,
