,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
1,DIQ010,The next questions are about specific medical conditions. {Other than during pregnancy {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
2,DID040,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
3,DIQ159,,Both males and females 1 YEARS - 150 YEARS,,,,,,,,,,,,,
4,DIQ160,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following: prediabetes impaired fasting glucose impaired glucose tolerance borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,DIQ170,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,DIQ172,{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,DIQ175A,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,DIQ175B,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,DIQ175C,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,DIQ175D,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,DIQ175E,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,DIQ175F,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
13,DIQ175G,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
14,DIQ175H,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
15,DIQ175I,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
16,DIQ175J,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
17,DIQ175K,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
18,DIQ175L,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
19,DIQ175M,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
20,DIQ175N,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
21,DIQ175O,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
22,DIQ175P,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
23,DIQ175Q,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
24,DIQ175R,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
25,DIQ175S,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
26,DIQ175T,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
27,DIQ175U,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
28,DIQ175V,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
29,DIQ175W,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
