,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
1,KIQ022,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had weak or failing kidneys? Do not include kidney stones bladder infections or incontinence.,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
2,KIQ025,In the past 12 months {have you/has SP} received dialysis (either hemodialysis or peritoneal dialysis)?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
3,KIQ026,{Have you/Has SP} ever had kidney stones?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
4,KIQ029,In the past 12 months {have you/has SP} passed a kidney stone?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
5,KIQ005,Many people have leakage of urine. The next few questions ask about urine leakage. How often {do you/does SP} have urinary leakage? Would {you/s/he} say . . .,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
6,KIQ010,How much urine {do you/does SP} lose each time? Would {you/s/he} say . . .,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
7,KIQ042,During the past 12 months {have you/has SP} leaked or lost control of even a small amount of urine with an activity like coughing lifting or exercise?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
8,KIQ430,How frequently does this occur? Would {you/s/he} say this occurs . . .,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
9,KIQ044,During the past 12 months {have you/has SP} leaked or lost control of even a small amount of urine with an urge or pressure to urinate and {you/he/she} couldnt get to the toilet fast enough?`,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
10,KIQ450,How frequently does this occur? Would {you/s/he} say this occurs. . .,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
11,KIQ046,During the past 12 months {have you/has SP} leaked or lost control of even a small amount of urine without an activity like coughing lifting or exercise or an urge to urinate?,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
12,KIQ470,How frequently does this occur? Would {you/s/he} say this occurs . . .,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
13,KIQ048A,,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
14,KIQ050,During the past 12 months how much did {your/her/his} leakage of urine bother {you/her/him}? Please select one of the following choices:,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
15,KIQ052,During the past 12 months how much did {your/her/his} leakage of urine affect {your/her/his} day-to-day activities? Please select one of the following choices:,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
16,KIQ480,During the past 30 days how many times per night did {you/SP} most typically get up to urinate from the time {you/s/he} went to bed at night until the time {you/he/she} got up in the morning. Would {you/s/he} say,Both males and females 20 YEARS - 150 YEARS,,,,,,,,,,,,,
