,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,CBD760,,,,,,,,,,,,
1,CBD765,,,,,,,,,,,,
2,CBD770,,,,,,,,,,,,
3,CBD925,,,,,,,,,,,,
4,CBQ502,,,,,,,,,,,,
5,CBQ503,,,,,,,,,,,,
6,CBQ506,,,,,,,,,,,,
7,CBQ536,,,,,,,,,,,,
8,CBQ541,,,,,,,,,,,,
9,CBQ551,,,,,,,,,,,,
10,CBQ581,,,,,,,,,,,,
11,CBQ586,,,,,,,,,,,,
12,CBQ685,,,,,,,,,,,,
13,CBQ695a,,,,,,,,,,,,
14,CBQ695b,,,,,,,,,,,,
15,CBQ695c,,,,,,,,,,,,
16,CBQ698a,,,,,,,,,,,,
17,CBQ698b,,,,,,,,,,,,
18,CBQ698c,,,,,,,,,,,,
19,CBQ698cd,,,,,,,,,,,,
20,CBQ698d,,,,,,,,,,,,
21,CBQ698e,,,,,,,,,,,,
22,CBQ698f,,,,,,,,,,,,
23,CBQ698g,,,,,,,,,,,,
24,CBQ698h,,,,,,,,,,,,
25,CBQ698i,,,,,,,,,,,,
26,CBQ700,,,,,,,,,,,,
27,CBQ738a,,,,,,,,,,,,
28,CBQ738b,,,,,,,,,,,,
29,CBQ738c,,,,,,,,,,,,
30,CBQ738cd,,,,,,,,,,,,
31,CBQ738d,,,,,,,,,,,,
32,CBQ738e,,,,,,,,,,,,
33,CBQ738f,,,,,,,,,,,,
34,CBQ738g,,,,,,,,,,,,
35,CBQ738h,,,,,,,,,,,,
36,CBQ738i,,,,,,,,,,,,
37,CBQ738j,,,,,,,,,,,,
38,CBQ738k,,,,,,,,,,,,
39,CBQ785,,,,,,,,,,,,
40,CBQ830,,,,,,,,,,,,
41,CBQ835,,,,,,,,,,,,
42,CBQ840,,,,,,,,,,,,
43,CBQ845,,,,,,,,,,,,
44,CBQ850,,,,,,,,,,,,
45,CBQ855,,,,,,,,,,,,
46,CBQ860,,,,,,,,,,,,
47,CBQ865,,,,,,,,,,,,
48,CBQ870,,,,,,,,,,,,
49,CBQ875,,,,,,,,,,,,
50,CBQ880,,,,,,,,,,,,
51,CBQ885,,,,,,,,,,,,
52,CBQ890,,,,,,,,,,,,
53,CBQ895,,,,,,,,,,,,
54,CBQ900,,,,,,,,,,,,
55,CBQ905,,,,,,,,,,,,
56,CBQ910,,,,,,,,,,,,
57,CBQ915,,,,,,,,,,,,
58,CBQ930,,,,,,,,,,,,
59,CBQ935,,,,,,,,,,,,
60,CBQ945,,,,,,,,,,,,
61,CBQ950,,,,,,,,,,,,
62,DBD930,,,,,,,,,,,,
63,DBD935,,,,,,,,,,,,
64,DBD940,,,,,,,,,,,,
65,DBD945,,,,,,,,,,,,
66,DBQ750,,,,,,,,,,,,
67,DBQ760,,,,,,,,,,,,
68,DBQ770,,,,,,,,,,,,
69,DBQ780,,,,,,,,,,,,
70,SEQN,,,,,,,,,,,,
71,WTDRD1PP,,,,,,,,,,,,
