,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
1,SMQ681,During the past 5 days including today did you smoke cigarettes pipes regular cigars cigarillos or little filtered cigars water pipes or hookahs with tobacco?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
2,SMQ690A,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
3,SMQ710,During the past 5 days including today on how many days did {you/he/she} smoke cigarettes?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
4,SMQ720,During the past 5 days including today on the days {you/he/she} smoked how many cigarettes did {you/he/she} smoke each day?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
5,SMQ725,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
6,SMQ690B,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
7,SMQ740,During the past 5 days including today on how many days did {you/he/she} smoke a pipe?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
8,SMQ690C,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
9,SMQ770,During the past 5 days including today on how many days did you smoke regular cigars cigarillos or little filtered cigars?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
10,SMQ690G,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
11,SMQ845,During the past 5 days including today on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
12,SMQ846,During the past 5 days including today did you use e-cigarettes? You may also know them as JUUL(TM) vape-pens vapes hookah-pens e-hookahs or vaporizers. These are battery-powered usually contain liquid nicotine and produce vapor instead of smoke?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
13,SMQ849,During the past 5 days including today on how many days did {you/he/she} use e-cigarettes?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
14,SMQ851,Smokeless tobacco products are placed in the mouth or nose and can include chewing tobacco snuff dip snus or dissolvable tobacco. During the past 5 days including today did {you/he/she} use any smokeless tobacco?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
15,SMQ690D,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
16,SMQ690E,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
17,SMQ690K,Which of these products did {you/he/she} use?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
18,SMQ863,During the past 5 days including today did {you/he/she} use any nicotine replacement therapy products such as nicotine patches gum lozenges inhalers or nasal sprays?,Both males and females 18 YEARS - 150 YEARS,,,,,,,,,,,,,
19,SMQ690F,Which of these products did {you/he/she} use?,Both males and females 18 YEARS - 150 YEARS,,,,,,,,,,,,,
20,SMDANY,Used any tobacco product last 5 days?,Both males and females 12 YEARS - 150 YEARS,,,,,,,,,,,,,
